title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Wrath of the Titans,B005LAIH54,2012,True,"['Action', 'Adventure', 'Fantasy']",99,"['Warner Bros.', 'Legendary Entertainment', 'Cott Productions', 'Furia de Titanes II, A.I.E.', 'Thunder Road Pictures']",5.8,162813.0,['Jonathan Liebesman']
The Mask,0780651359,1994,True,"['Comedy', 'Fantasy']",101,"['New Line Cinema', 'Dark Horse Entertainment']",6.9,289235.0,['Chuck Russell']
Green Lantern,B004EPZ07K,2011,True,"['Action', 'Adventure', 'Sci-Fi']",114,"['Warner Bros.', 'De Line Pictures', 'DC Entertainment', 'DC Comics', 'Envy Studios']",5.6,237357.0,['Martin Campbell']
Major Dundee,B00083FZFY,1965,True,"['Adventure', 'War', 'Western']",123,['Jerry Bresler Productions'],6.8,5839.0,['Sam Peckinpah']
The Black Hole,6305342768,1979,True,"['Action', 'Sci-Fi']",98,['Walt Disney Productions'],5.9,19601.0,['Gary Nelson']
American Dreamz,B00005JOX3,2006,True,"['Comedy', 'Music']",107,"['Universal Pictures', 'Depth of Field']",5.5,23230.0,['Paul Weitz']
G-Force,B001QOGY6I,2009,True,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",88,"['Jerry Bruckheimer Films', 'Walt Disney Pictures', 'Whamaphram Productions']",5.1,35809.0,['Hoyt Yeatman']
Vals Im Bashir,B001KVZ6A2,2008,False,"['Animation', 'Biography', 'Drama', 'History', 'War']",90,"['Bridgit Folman Film Gang', ""Les Films d'Ici"", 'Razor Film Produktion GmbH', 'Arte France', 'ITVS', 'Noga Communication - Channel 8', 'New Israeli Foundation for Cinema and Television', 'Medienboard Berlin-Brandenburg', 'Israel Film Fund', 'Hot Telecommunication', 'YLE Teema', 'Télévision Suisse-Romande (TSR)', 'Radio Télévision Belge Francophone (RTBF)', 'Special Broadcasting Service (SBS)']",8.0,49342.0,['Ari Folman']
The Amazing Spider-Man,B004LWZWFQ,2012,True,"['Action', 'Adventure', 'Sci-Fi']",136,"['Columbia Pictures', 'Marvel Entertainment', 'Laura Ziskin Productions']",7.0,488505.0,['Marc Webb']
The Human Centipede (First Sequence),B003L20IEC,2009,False,['Horror'],92,['Six Entertainment'],4.4,62687.0,['Tom Six']
Adventures in Babysitting,6301008944,1987,True,"['Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Romance', 'Thriller']",102,"['Touchstone Pictures', 'Silver Screen Partners III']",6.9,31211.0,['Chris Columbus']
Toy Story,6304089767,1995,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",81,"['Pixar Animation Studios', 'Walt Disney Pictures']",8.3,702404.0,['John Lasseter']
The Holiday,B000MQC9H4,2006,True,"['Comedy', 'Romance']",138,"['Columbia Pictures', 'Universal Pictures', 'Relativity Media', 'Waverly Films']",6.9,199856.0,['Nancy Meyers']
The Return of the Living Dead,6301932420,1985,True,"['Comedy', 'Horror']",91,"['Hemdale', 'Fox Films Ltd.', ""Cinema '84/Greenberg Brothers Partnership""]",7.3,43988.0,"[""Dan O'Bannon""]"
Wild at Heart,6303018351,1990,True,"['Comedy', 'Crime', 'Drama', 'Thriller']",125,"['PolyGram Filmed Entertainment', 'Propaganda Films']",7.2,68099.0,['David Lynch']
Olympus Has Fallen,B00BEIYHO2,2013,True,"['Action', 'Thriller']",119,"['Millennium Films', 'Millennium Films', 'G-BASE', 'FortyFour Studios', 'West Coast Film Partners']",6.5,220571.0,['Antoine Fuqua']
The Wild Geese,B00000F74H,1978,True,"['Action', 'Adventure', 'Drama', 'Thriller', 'War']",134,"['Richmond Film Productions (West)', 'Victory Films', 'Varius Entertainment Trading A.G.']",6.8,9992.0,['Andrew V. McLaglen']
She,6303626467,1965,True,"['Adventure', 'Fantasy']",USA:106,"['Associated British Picture Corporation (ABPC)', 'Hammer Films']",5.8,2373.0,['Robert Day']
Daniel Deronda,B0000897EC,2002,True,"['Drama', 'History', 'Romance']",210::(3 parts),"['British Broadcasting Corporation', 'WGBH']",7.3,3635.0,['Tom Hooper']
